entity,topic,classification,document_reference,custom_id,speech_id,location,request_idx,speech_narrative_id,entity_type,entity_speech_narrative_id
downstream wage and price pressures,inflation,higher,,speech_16649_narr_16649_20_effect_20,16649,domestic,20,16649_20,effect,downstream wage and price pressures|16649_20
monetary policy signals,interest rates,normal,,speech_16649_narr_16649_21_cause_21,16649,domestic,21,16649_21,cause,monetary policy signals|16649_21
adjustment of the real economy,output,normal,,speech_16649_narr_16649_21_effect_21,16649,domestic,21,16649_21,effect,adjustment of the real economy|16649_21
monetary policy,interest rates,normal,,speech_16649_narr_16649_22_cause_22,16649,domestic,22,16649_22,cause,monetary policy|16649_22
inputs to the long-run equilibrium,interest rates,normal,,speech_16649_narr_16649_22_effect_22,16649,domestic,22,16649_22,effect,inputs to the long-run equilibrium|16649_22
expectations by workers and firms for wage increases and price increases,inflation,higher,,speech_16649_narr_16649_23_cause_23,16649,domestic,23,16649_23,cause,expectations by workers and firms for wage increases and price increases|16649_23
domestically-driven wage-price dynamic,inflation,higher,,speech_16649_narr_16649_23_effect_23,16649,domestic,23,16649_23,effect,domestically-driven wage-price dynamic|16649_23
2021 wage settlements and price hikes,inflation,higher,,speech_16649_narr_16649_24_cause_24,16649,domestic,24,16649_24,cause,2021 wage settlements and price hikes|16649_24
inflation would remain well above target,inflation,higher,,speech_16649_narr_16649_24_effect_24,16649,domestic,24,16649_24,effect,inflation would remain well above target|16649_24
increase in inflation expectations,inflation,higher,,speech_16649_narr_16649_25_cause_25,16649,domestic,25,16649_25,cause,increase in inflation expectations|16649_25
significant role in wage settlements,labour market,higher,,speech_16649_narr_16649_25_effect_25,16649,domestic,25,16649_25,effect,significant role in wage settlements|16649_25
firms pricing expectations,inflation,higher,,speech_16649_narr_16649_26_cause_26,16649,domestic,26,16649_26,cause,firms pricing expectations|16649_26
recover margins eroded from input price increases and higher energy prices,inflation,higher,,speech_16649_narr_16649_26_effect_26,16649,domestic,26,16649_26,effect,recover margins eroded from input price increases and higher energy prices|16649_26
erosion of international competition,trade,higher,,speech_16649_narr_16649_27_cause_27,16649,global,27,16649_27,cause,erosion of international competition|16649_27
strengthen ability to pass-on or top-up import prices,inflation,higher,,speech_16649_narr_16649_27_effect_27,16649,domestic,27,16649_27,effect,strengthen ability to pass-on or top-up import prices|16649_27
shocks to the price level,inflation,normal,,speech_16649_narr_16649_28_cause_28,16649,domestic,28,16649_28,cause,shocks to the price level|16649_28
transitory effect on inflation,inflation,normal,,speech_16649_narr_16649_28_effect_28,16649,domestic,28,16649_28,effect,transitory effect on inflation|16649_28
repeated shocks on the same side,inflation,higher,,speech_16649_narr_16649_29_cause_29,16649,domestic,29,16649_29,cause,repeated shocks on the same side|16649_29
increase in the prices of goods and services in the UK,inflation,higher,,speech_16649_narr_16649_29_effect_29,16649,domestic,29,16649_29,effect,increase in the prices of goods and services in the UK|16649_29
shocks over the past year,inflation,higher,,speech_16649_narr_16649_30_cause_30,16649,domestic,30,16649_30,cause,shocks over the past year|16649_30
price level ratchet up,inflation,higher,,speech_16649_narr_16649_30_effect_30,16649,domestic,30,16649_30,effect,price level ratchet up|16649_30
shocks over the past year,inflation,higher,,speech_16649_narr_16649_31_cause_31,16649,domestic,31,16649_31,cause,shocks over the past year|16649_31
increase in inflation to historic highs,inflation,higher,,speech_16649_narr_16649_31_effect_31,16649,domestic,31,16649_31,effect,increase in inflation to historic highs|16649_31
consumer expectations for aggregate inflation,inflation,higher,,speech_16649_narr_16649_32_cause_32,16649,domestic,32,16649_32,cause,consumer expectations for aggregate inflation|16649_32
goods inflation becomes embedded into overall cost inflation,inflation,higher,,speech_16649_narr_16649_32_effect_32,16649,domestic,32,16649_32,effect,goods inflation becomes embedded into overall cost inflation|16649_32
monetary policy that looks through price changes,inflation,higher,,speech_16649_narr_16649_33_cause_33,16649,domestic,33,16649_33,cause,monetary policy that looks through price changes|16649_33
sustaining aggregate inflation,inflation,higher,,speech_16649_narr_16649_33_effect_33,16649,domestic,33,16649_33,effect,sustaining aggregate inflation|16649_33
inflation ratchet,inflation,higher,,speech_16649_narr_16649_34_cause_34,16649,domestic,34,16649_34,cause,inflation ratchet|16649_34
higher overall inflation that persists,inflation,higher,,speech_16649_narr_16649_34_effect_34,16649,domestic,34,16649_34,effect,higher overall inflation that persists|16649_34
high inflation,inflation,higher,,speech_16649_narr_16649_35_cause_35,16649,domestic,35,16649_35,cause,high inflation|16649_35
seeped into stable components,inflation,higher,,speech_16649_narr_16649_35_effect_35,16649,domestic,35,16649_35,effect,seeped into stable components|16649_35
Ofgem price cap,inflation,higher,,speech_16649_narr_16649_36_cause_36,16649,domestic,36,16649_36,cause,Ofgem price cap|16649_36
prolongs the effect of the current increase in wholesale energy prices,inflation,higher,,speech_16649_narr_16649_36_effect_36,16649,domestic,36,16649_36,effect,prolongs the effect of the current increase in wholesale energy prices|16649_36
appreciation of Sterling,exchange rate,higher,,speech_16649_narr_16649_37_cause_37,16649,domestic,37,16649_37,cause,appreciation of Sterling|16649_37
higher yield curve,interest rates,higher,,speech_16649_narr_16649_37_cause_37,16649,domestic,37,16649_37,cause,higher yield curve|16649_37
tightened financial conditions,financial markets,higher,,speech_16649_narr_16649_37_effect_37,16649,domestic,37,16649_37,effect,tightened financial conditions|16649_37
continued accommodative financial conditions,financial markets,normal,,speech_16649_narr_16649_38_cause_38,16649,domestic,38,16649_38,cause,continued accommodative financial conditions|16649_38
aggregate demand,output,normal,,speech_16649_narr_16649_38_effect_38,16649,domestic,38,16649_38,effect,aggregate demand|16649_38
doubling of consumer-facing energy prices,inflation,higher,,speech_16649_narr_16649_39_cause_39,16649,domestic,39,16649_39,cause,doubling of consumer-facing energy prices|16649_39
reduction in real aggregate non-energy consumption,output,lower,,speech_16649_narr_16649_39_effect_39,16649,domestic,39,16649_39,effect,reduction in real aggregate non-energy consumption|16649_39
2% drop in real post-tax labour income,labour market,lower,,speech_16649_narr_16649_40_cause_40,16649,domestic,40,16649_40,cause,2% drop in real post-tax labour income|16649_40
reduction in demand,output,lower,,speech_16649_narr_16649_40_effect_40,16649,domestic,40,16649_40,effect,reduction in demand|16649_40
low price elasticity,other,normal,,speech_16649_narr_16649_41_cause_41,16649,domestic,41,16649_41,cause,low price elasticity|16649_41
reduction in consumption of non-energy goods and services,output,lower,,speech_16649_narr_16649_41_effect_41,16649,domestic,41,16649_41,effect,reduction in consumption of non-energy goods and services|16649_41
high marginal propensity to consume,other,higher,,speech_16649_narr_16649_42_cause_42,16649,domestic,42,16649_42,cause,high marginal propensity to consume|16649_42
reduction in consumption of non-energy goods and services,output,lower,,speech_16649_narr_16649_42_effect_42,16649,domestic,42,16649_42,effect,reduction in consumption of non-energy goods and services|16649_42
accumulated liquid savings,other,higher,,speech_16649_narr_16649_43_cause_43,16649,domestic,43,16649_43,cause,accumulated liquid savings|16649_43
ability to sustain consumption,output,normal,,speech_16649_narr_16649_43_effect_43,16649,domestic,43,16649_43,effect,ability to sustain consumption|16649_43
energy price hikes,inflation,higher,,speech_16649_narr_16649_44_cause_44,16649,domestic,44,16649_44,cause,energy price hikes|16649_44
firms' expectations for sales and prices,output,normal,,speech_16649_narr_16649_44_effect_44,16649,domestic,44,16649_44,effect,firms' expectations for sales and prices|16649_44
big hit to consumer purchasing power and demand,output,lower,,speech_16649_narr_16649_45_cause_45,16649,domestic,45,16649_45,cause,big hit to consumer purchasing power and demand|16649_45
future reassessment of sales and prices by firms,output,lower,,speech_16649_narr_16649_45_effect_45,16649,domestic,45,16649_45,effect,future reassessment of sales and prices by firms|16649_45
aggregate inflation,inflation,higher,,speech_16649_narr_16649_46_cause_46,16649,domestic,46,16649_46,cause,aggregate inflation|16649_46
increase in firms' price expectations,inflation,higher,,speech_16649_narr_16649_46_effect_46,16649,domestic,46,16649_46,effect,increase in firms' price expectations|16649_46
energy price shock,geopolitical shocks,higher,,speech_16649_narr_16649_47_cause_47,16649,global,47,16649_47,cause,energy price shock|16649_47
change in price realisations,inflation,normal,,speech_16649_narr_16649_47_effect_47,16649,domestic,47,16649_47,effect,change in price realisations|16649_47
sluggish investment,productivity,lower,,speech_16649_narr_16649_48_cause_48,16649,domestic,48,16649_48,cause,sluggish investment|16649_48
illness-related non-participation in the labor force,labour market,lower,,speech_16649_narr_16649_48_cause_48,16649,domestic,48,16649_48,cause,illness-related non-participation in the labor force|16649_48
long-term equilibrium rate,interest rates,lower,,speech_16649_narr_16649_48_effect_48,16649,domestic,48,16649_48,effect,long-term equilibrium rate|16649_48
sluggish recovery in UK trade relative to G7 peers,trade,lower,,speech_16649_narr_16649_49_cause_49,16649,domestic,49,16649_49,cause,sluggish recovery in UK trade relative to G7 peers|16649_49
downside risk to productivity growth,productivity,lower,,speech_16649_narr_16649_49_effect_49,16649,domestic,49,16649_49,effect,downside risk to productivity growth|16649_49
Covid-related new investments,productivity,higher,,speech_16649_narr_16649_50_cause_50,16649,domestic,50,16649_50,cause,Covid-related new investments|16649_50
positive productivity shock,productivity,higher,,speech_16649_narr_16649_50_effect_50,16649,domestic,50,16649_50,effect,positive productivity shock|16649_50
uncertainty about the degree of inflation persistence,inflation,higher,,speech_16649_narr_16649_51_cause_51,16649,domestic,51,16649_51,cause,uncertainty about the degree of inflation persistence|16649_51
high degree of inflation persistence,inflation,higher,,speech_16649_narr_16649_51_effect_51,16649,domestic,51,16649_51,effect,high degree of inflation persistence|16649_51
uncertainty about the degree of intrinsic inflation persistence,inflation,higher,,speech_16649_narr_16649_52_cause_52,16649,domestic,52,16649_52,cause,uncertainty about the degree of intrinsic inflation persistence|16649_52
inflation,inflation,higher,,speech_16649_narr_16649_52_effect_52,16649,domestic,52,16649_52,effect,inflation|16649_52
inflation not eliminated today,inflation,higher,,speech_16649_narr_16649_53_cause_53,16649,domestic,53,16649_53,cause,inflation not eliminated today|16649_53
future inflation,inflation,higher,,speech_16649_narr_16649_53_effect_53,16649,domestic,53,16649_53,effect,future inflation|16649_53
long periods of loose policy,interest rates,lower,,speech_16649_narr_16649_54_cause_54,16649,domestic,54,16649_54,cause,long periods of loose policy|16649_54
high debt levels,credit,higher,,speech_16649_narr_16649_54_effect_54,16649,global,54,16649_54,effect,high debt levels|16649_54
high debt levels,credit,higher,,speech_16649_narr_16649_55_cause_55,16649,global,55,16649_55,cause,high debt levels|16649_55
depress the long-run neutral rate,interest rates,lower,,speech_16649_narr_16649_55_effect_55,16649,domestic,55,16649_55,effect,depress the long-run neutral rate|16649_55
changes in interest rates in the US,interest rates,normal,,speech_16650_narr_16650_0_cause_56,16650,global,56,16650_0,cause,changes in interest rates in the US|16650_0
affect the UK economy,output,normal,,speech_16650_narr_16650_0_effect_56,16650,domestic,56,16650_0,effect,affect the UK economy|16650_0
global financial spillovers,financial markets,higher,,speech_16650_narr_16650_1_cause_57,16650,global,57,16650_1,cause,global financial spillovers|16650_1
affect domestic financial conditions in the UK,financial markets,higher,,speech_16650_narr_16650_1_effect_57,16650,domestic,57,16650_1,effect,affect domestic financial conditions in the UK|16650_1
US monetary policy tightening,interest rates,higher,,speech_16650_narr_16650_2_cause_58,16650,global,58,16650_2,cause,US monetary policy tightening|16650_2
slowdown in activity and disinflation abroad,output,lower,,speech_16650_narr_16650_2_effect_58,16650,global,58,16650_2,effect,slowdown in activity and disinflation abroad|16650_2
US monetary policy tightening,interest rates,higher,,speech_16650_narr_16650_3_cause_59,16650,global,59,16650_3,cause,US monetary policy tightening|16650_3
appreciate the Dollar,exchange rate,higher,,speech_16650_narr_16650_3_effect_59,16650,global,59,16650_3,effect,appreciate the Dollar|16650_3
appreciate the Dollar,exchange rate,lower,,speech_16650_narr_16650_4_cause_60,16650,global,60,16650_4,cause,appreciate the Dollar|16650_4
capital outflows and a depreciating foreign currency,exchange rate,lower,,speech_16650_narr_16650_4_effect_60,16650,global,60,16650_4,effect,capital outflows and a depreciating foreign currency|16650_4
Imported goods become more expensive in terms of the foreign currency,exchange rate,higher,,speech_16650_narr_16650_5_cause_61,16650,global,61,16650_5,cause,Imported goods become more expensive in terms of the foreign currency|16650_5
Inflationary effect in the non-US economy,inflation,higher,,speech_16650_narr_16650_5_effect_61,16650,global,61,16650_5,effect,Inflationary effect in the non-US economy|16650_5
Depreciation makes exports from this country more attractive,exchange rate,higher,,speech_16650_narr_16650_6_cause_62,16650,domestic,62,16650_6,cause,Depreciation makes exports from this country more attractive|16650_6
Boost to exports,trade,higher,,speech_16650_narr_16650_6_effect_62,16650,domestic,62,16650_6,effect,Boost to exports|16650_6
US tightening,interest rates,higher,,speech_16650_narr_16650_7_cause_63,16650,global,63,16650_7,cause,US tightening|16650_7
Inflationary pressures in emerging market economies,inflation,higher,,speech_16650_narr_16650_7_effect_63,16650,global,63,16650_7,effect,Inflationary pressures in emerging market economies|16650_7
US tightening,interest rates,higher,,speech_16650_narr_16650_8_cause_64,16650,global,64,16650_8,cause,US tightening|16650_8
Sterling depreciation,exchange rate,higher,,speech_16650_narr_16650_8_effect_64,16650,domestic,64,16650_8,effect,Sterling depreciation|16650_8
US monetary policy shock increases the US 3-months Treasury bill rate by 100 basis points,interest rates,higher,,speech_16650_narr_16650_9_cause_65,16650,global,65,16650_9,cause,US monetary policy shock increases the US 3-months Treasury bill rate by 100 basis points|16650_9
Decrease in the level of real economic activity by 3 percent,output,lower,,speech_16650_narr_16650_9_effect_65,16650,domestic,65,16650_9,effect,Decrease in the level of real economic activity by 3 percent|16650_9
US monetary policy shock,interest rates,higher,,speech_16650_narr_16650_10_cause_66,16650,global,66,16650_10,cause,US monetary policy shock|16650_10
Decrease in the price level by about 0.4 percent,inflation,lower,,speech_16650_narr_16650_10_effect_66,16650,domestic,66,16650_10,effect,Decrease in the price level by about 0.4 percent|16650_10
US tightening,interest rates,higher,,speech_16650_narr_16650_11_cause_67,16650,global,67,16650_11,cause,US tightening|16650_11
Inflationary effect in the UK,inflation,higher,,speech_16650_narr_16650_11_effect_67,16650,domestic,67,16650_11,effect,Inflationary effect in the UK|16650_11
US tightening,interest rates,higher,,speech_16650_narr_16650_12_cause_68,16650,global,68,16650_12,cause,US tightening|16650_12
Fall in UK output,output,lower,,speech_16650_narr_16650_12_effect_68,16650,domestic,68,16650_12,effect,Fall in UK output|16650_12
US tightening,interest rates,higher,,speech_16650_narr_16650_13_cause_69,16650,global,69,16650_13,cause,US tightening|16650_13
Sterling depreciation,exchange rate,lower,,speech_16650_narr_16650_13_effect_69,16650,domestic,69,16650_13,effect,Sterling depreciation|16650_13
US monetary policy shock,interest rates,higher,,speech_16650_narr_16650_14_cause_70,16650,global,70,16650_14,cause,US monetary policy shock|16650_14
UK short-term rates,interest rates,higher,,speech_16650_narr_16650_14_effect_70,16650,domestic,70,16650_14,effect,UK short-term rates|16650_14
US monetary policy shock,interest rates,higher,,speech_16650_narr_16650_15_cause_71,16650,global,71,16650_15,cause,US monetary policy shock|16650_15
UK policymaker chooses to add stimulus,government spending,higher,,speech_16650_narr_16650_15_effect_71,16650,domestic,71,16650_15,effect,UK policymaker chooses to add stimulus|16650_15
US monetary policy shock,interest rates,higher,,speech_16650_narr_16650_16_cause_72,16650,global,72,16650_16,cause,US monetary policy shock|16650_16
Depreciation of Sterling,exchange rate,lower,,speech_16650_narr_16650_16_effect_72,16650,domestic,72,16650_16,effect,Depreciation of Sterling|16650_16
US monetary policy shock,interest rates,higher,,speech_16650_narr_16650_17_cause_73,16650,global,73,16650_17,cause,US monetary policy shock|16650_17
UK price level jump,inflation,higher,,speech_16650_narr_16650_17_effect_73,16650,domestic,73,16650_17,effect,UK price level jump|16650_17
higher energy and food prices,inflation,higher,,speech_16650_narr_16650_18_cause_74,16650,domestic,74,16650_18,cause,higher energy and food prices|16650_18
real incomes,output,lower,,speech_16650_narr_16650_18_effect_74,16650,domestic,74,16650_18,effect,real incomes|16650_18
consumption growth,output,higher,,speech_16650_narr_16650_19_cause_75,16650,domestic,75,16650_19,cause,consumption growth|16650_19
firms' pricing expectations and decisions,inflation,higher,,speech_16650_narr_16650_19_effect_75,16650,domestic,75,16650_19,effect,firms' pricing expectations and decisions|16650_19
consumption growth,output,higher,,speech_16650_narr_16650_20_cause_76,16650,domestic,76,16650_20,cause,consumption growth|16650_20
domestic upside risks to inflation,inflation,higher,,speech_16650_narr_16650_20_effect_76,16650,domestic,76,16650_20,effect,domestic upside risks to inflation|16650_20
Fed tightens at the currently expected pace,interest rates,higher,,speech_16650_narr_16650_21_cause_77,16650,global,77,16650_21,cause,Fed tightens at the currently expected pace|16650_21
depreciation pressure on Sterling,exchange rate,higher,,speech_16650_narr_16650_21_effect_77,16650,domestic,77,16650_21,effect,depreciation pressure on Sterling|16650_21
depreciation pressure on Sterling,exchange rate,higher,,speech_16650_narr_16650_22_cause_78,16650,domestic,78,16650_22,cause,depreciation pressure on Sterling|16650_22
inflation increases,inflation,higher,,speech_16650_narr_16650_22_effect_78,16650,domestic,78,16650_22,effect,inflation increases|16650_22
Fed tightening,interest rates,higher,,speech_16650_narr_16650_23_cause_79,16650,global,79,16650_23,cause,Fed tightening|16650_23
inflation,inflation,higher,,speech_16650_narr_16650_23_effect_79,16650,domestic,79,16650_23,effect,inflation|16650_23
domestic inflation already embedded,inflation,higher,,speech_16650_narr_16650_24_cause_80,16650,domestic,80,16650_24,cause,domestic inflation already embedded|16650_24
inflation,inflation,higher,,speech_16650_narr_16650_24_effect_80,16650,domestic,80,16650_24,effect,inflation|16650_24
US monetary policy shocks,interest rates,higher,,speech_16650_narr_16650_25_cause_81,16650,global,81,16650_25,cause,US monetary policy shocks|16650_25
spillover into global financial and macroeconomic conditions,financial markets,lower,,speech_16650_narr_16650_25_effect_81,16650,global,81,16650_25,effect,spillover into global financial and macroeconomic conditions|16650_25
US monetary policy shocks,interest rates,higher,,speech_16650_narr_16650_26_cause_82,16650,global,82,16650_26,cause,US monetary policy shocks|16650_26
depressing world production,output,lower,,speech_16650_narr_16650_26_effect_82,16650,global,82,16650_26,effect,depressing world production|16650_26
US monetary policy shocks,interest rates,higher,,speech_16650_narr_16650_27_cause_83,16650,global,83,16650_27,cause,US monetary policy shocks|16650_27
world trade,trade,lower,,speech_16650_narr_16650_27_effect_83,16650,global,83,16650_27,effect,world trade|16650_27
decrease in global risk-taking,financial markets,lower,,speech_16650_narr_16650_28_cause_84,16650,global,84,16650_28,cause,decrease in global risk-taking|16650_28
slowdown,financial markets,lower,,speech_16650_narr_16650_28_effect_84,16650,global,84,16650_28,effect,slowdown|16650_28
US monetary policy,interest rates,higher,,speech_16650_narr_16650_29_cause_85,16650,global,85,16650_29,cause,US monetary policy|16650_29
contractionary in output,output,lower,,speech_16650_narr_16650_29_effect_85,16650,global,85,16650_29,effect,contractionary in output|16650_29
US monetary policy,interest rates,higher,,speech_16650_narr_16650_30_cause_86,16650,global,86,16650_30,cause,US monetary policy|16650_30
contractionary in inflation,inflation,lower,,speech_16650_narr_16650_30_effect_86,16650,global,86,16650_30,effect,contractionary in inflation|16650_30
US tightening,interest rates,higher,,speech_16650_narr_16650_31_cause_87,16650,global,87,16650_31,cause,US tightening|16650_31
inflationary in emerging market economies,inflation,higher,,speech_16650_narr_16650_31_effect_87,16650,global,87,16650_31,effect,inflationary in emerging market economies|16650_31
stronger US demand,output,higher,,speech_16650_narr_16650_32_cause_88,16650,global,88,16650_32,cause,stronger US demand|16650_32
US tightening,interest rates,higher,,speech_16650_narr_16650_32_effect_88,16650,global,88,16650_32,effect,US tightening|16650_32
better fundamentals and well-anchored inflation expectations,inflation,normal,,speech_16650_narr_16650_33_cause_89,16650,global,89,16650_33,cause,better fundamentals and well-anchored inflation expectations|16650_33
smaller inflationary effects for EMEs,inflation,lower,,speech_16650_narr_16650_33_effect_89,16650,global,89,16650_33,effect,smaller inflationary effects for EMEs|16650_33
monetary policy loosening by the ECB,interest rates,lower,,speech_16650_narr_16650_34_cause_90,16650,global,90,16650_34,cause,monetary policy loosening by the ECB|16650_34
disinflationary in non-Euro Central and Eastern European countries,inflation,lower,,speech_16650_narr_16650_34_effect_90,16650,global,90,16650_34,effect,disinflationary in non-Euro Central and Eastern European countries|16650_34
US tightening,interest rates,higher,,speech_16650_narr_16650_35_cause_91,16650,global,91,16650_35,cause,US tightening|16650_35
trade-off inducing for the UK,inflation,higher,,speech_16650_narr_16650_35_effect_91,16650,domestic,91,16650_35,effect,trade-off inducing for the UK|16650_35
inflation expectations,inflation,normal,,speech_16651_narr_16651_0_cause_92,16651,domestic,92,16651_0,cause,inflation expectations|16651_0
Phillips curve,inflation,normal,,speech_16651_narr_16651_0_effect_92,16651,domestic,92,16651_0,effect,Phillips curve|16651_0
MPC raises interest rates,interest rates,higher,,speech_16651_narr_16651_1_cause_93,16651,domestic,93,16651_1,cause,MPC raises interest rates|16651_1
increase in borrowing costs for firms and households,interest rates,higher,,speech_16651_narr_16651_1_effect_93,16651,domestic,93,16651_1,effect,increase in borrowing costs for firms and households|16651_1
increase in borrowing costs for firms and households,interest rates,higher,,speech_16651_narr_16651_2_cause_94,16651,domestic,94,16651_2,cause,increase in borrowing costs for firms and households|16651_2
decrease in spending,output,lower,,speech_16651_narr_16651_2_effect_94,16651,domestic,94,16651_2,effect,decrease in spending|16651_2
decrease in spending,output,lower,,speech_16651_narr_16651_3_cause_95,16651,domestic,95,16651_3,cause,decrease in spending|16651_3
increase in unemployment,labour market,higher,,speech_16651_narr_16651_3_effect_95,16651,domestic,95,16651_3,effect,increase in unemployment|16651_3
increase in unemployment,labour market,higher,,speech_16651_narr_16651_4_cause_96,16651,domestic,96,16651_4,cause,increase in unemployment|16651_4
opening of slack,output,higher,,speech_16651_narr_16651_4_effect_96,16651,domestic,96,16651_4,effect,opening of slack|16651_4
opening of slack,output,higher,,speech_16651_narr_16651_5_cause_97,16651,domestic,97,16651_5,cause,opening of slack|16651_5
companies adjust prices,inflation,lower,,speech_16651_narr_16651_5_effect_97,16651,domestic,97,16651_5,effect,companies adjust prices|16651_5
MPC raises interest rates,interest rates,higher,,speech_16651_narr_16651_6_cause_98,16651,domestic,98,16651_6,cause,MPC raises interest rates|16651_6
