speech_id,batch_id,cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,claim_id,unique_identifier_speech_batch_claim
16652,3,Supply weakness,Important ingredient in the search for turning points in inflation,Supply weakness can contribute to identifying turning points in inflation.,Supply weakness can be an important ingredient in the search for turning points in inflation,,can be,,present,5,16652_3_5
16652,3,Mismatch between UK labour demand and supply,"Wage growth could stay stronger for longer, presenting upside risk to inflation","A mismatch between UK labour demand and supply could lead to prolonged strong wage growth, increasing the risk of inflation.","If there is a mismatch between UK labour demand and supply, in part driven by the structural changes in the labour market that Covid and lockdowns brought about, and in part due to the rapid rise in production costs for firms resulting from Russias invasion of Ukraine, then wage growth could stay stronger for longer, presenting upside risk to inflation.",,could,,futur,6,16652_3_6
16652,4,Yield curve inversion,Early indicator of a recession,"When the slope of the yield curve turns negative, it is viewed by some as an early indicator of a recession.","When the slope turns negative, the yield curve is said to be inverted, which is viewed by some as an early indicator of a recession.",,viewed by some,,present,0,16652_4_0
16652,4,Expectations of shorter term yields being higher than longer term yields,Markets expect central banks to tighten in the short term and induce a recession or anticipate central banks needing to cut interest rates in response to a recession,"For expectations of shorter term yields to be higher than longer term yields, markets must either expect central banks to tighten in the short term and thereby induce a recession, or anticipate central banks needing to cut interest rates at some point in the future in response to a recession.","For expectations of shorter term yields to be higher than longer term yields, markets must either expect central banks to tighten in the short term and thereby induce a recession, or anticipate central banks needing to cut interest rates at some point in the future in response to a recession (Benzoni et al., 2018).",,,at some point in the future,futur,1,16652_4_1
16652,4,Endogenous reaction of yields to monetary policy and forward guidance,Indication that the economy is in a transitionary phase,"Taking into account the endogenous reaction of yields to monetary policy and forward guidance, this indicates that the economy is in a transitionary phase.","Taking into account the endogenous reaction of yields to monetary policy and forward guidance, to me, this indicates that the economy is in a transitionary phase, as is monetary policy.",,to me,,present,2,16652_4_2
16652,4,Global financial cycle and international spillovers,Mixed signals for any one particular economy,"The strong co-movement of lines in Chart 5 highlights the importance of the global financial cycle and international spillovers, which means the signal for any one particular economy might be mixed with signals about the general direction of the world economy.","And finally, it is important not to forget that yields are highly correlated across major economies, shown by the strong co-movement of lines in Chart 5, highlighting the importance of the global financial cycle (Miranda- Agrippino & Rey, 2020) and international spillovers. Therefore, the signal for any one particular economy might be mixed with signals about the general direction of the world economy, and in particular the US.",,might be,,present,3,16652_4_3
16652,5,Household expectations,Inflation dynamics,Household expectations are particularly important for inflation dynamics because only if households are willing to pay their prices can firms realize their expected pricing power.,Household expectations are particularly important for inflation dynamics. Only if households are willing to pay their prices can firms realize their expected pricing power; if there is a buyer revolt that could signal a turning point.,,,,present,0,16652_5_0
16652,5,Peak of energy prices and mortgage rates in Q3 2022,Moderation of the right tail of household inflation expectation distributions,"The right tail of household inflation expectation distributions, which represents an upside risk to the monetary policy maker, may be moderating due to the peak of energy prices and mortgage rates in Q3 2022.","This measure peaked in Q3 2022, suggesting that that right tail - which represents an upside risk to the monetary policy maker - may be moderating. However Q3 2022 was also the peak of energy prices and mortgage rates.",,may be,,present,1,16652_5_1
16652,5,Conditioning assumptions of announced fiscal policy and market expectations for the Bank Rate,Projections of inflation around the target of 2% by the middle of 2024,"Projections of inflation incorporate conditioning assumptions of announced fiscal policy and the market expectations for the Bank Rate, which influence the projection of inflation to be around the target of 2% by the middle of 2024.",These projections incorporate conditioning assumptions of announced fiscal policy and the market expectations for the Bank Rate.,Inflation projected to be around 2% by the middle of 2024,,by the middle of 2024,future,2,16652_5_2
16652,6,"Global energy, food, and goods prices stop rising dramatically or fall",Deceleration of inflation in the forecast for 2025,"The assumption that global energy, food, and goods prices are expected to stop rising as dramatically as they did in 2021 and 2022 or even outright fall contributes to the deceleration of inflation.","Broadly speaking, the deceleration of inflation in the forecast in 2025 comes from, on the one hand, the assumption that global energy, food, and goods prices are expected to stop rising as dramatically as they did in 2021 and 2022 or even outright fall.",,,in the forecast for 2025,future,0,16652_6_0
16652,6,Expected weakness in demand relative to supply,Discipline in domestic price and wage setting,Expected weakness in demand relative to supply should discipline domestic price and wage setting.,but also that expected weakness in demand relative to supply should discipline domestic price and wage setting.,,should,,future,1,16652_6_1
16652,6,High monthly increases drop out and are replaced by low growth or decreases,Deceleration of inflation,"As high monthly increases drop out and are replaced by low growth or decreases, the annual calculation of inflation will show deceleration.","As the first happens and then the second, in the annual calculation of inflation, high monthly increases would drop out and be replaced by low growth or decreases (base effects).",,would,,future,2,16652_6_2
16652,6,Large fiscal stimulus in the US,Inflationary surges taking inflation to double digits,Large fiscal stimulus in the US caused distinct inflationary surges taking inflation to double digits.,"The US looks different first with distinct inflationary surges taking inflation to double digits, on account of large fiscal stimulus.",double digits,,,past,3,16652_6_3
16652,7,Financial market-implied policy rate expectations,Forecast revisions,"Financial market-implied policy rate expectations were continuously revised, which in turn affected the forecast.","Monetary policy strategy Chart 9 shows how financial market-implied policy rate expectations were continuously revised through the forecast vintages, which in turn also affected the forecast, since these curves are a key conditioning assumption.",,,,past,0,16652_7_0
16652,7,Shifting peak in the market-implied curve,Reflection of uncertainty around data evolution and MPC reaction function,"The shifting peak in the market-implied curve reflects the extent of uncertainty both around the evolution of data that underpins MPC decisions, as well as the MPCs reaction function.","The shifting peak in the market-implied curve, both in level space and timing of a peak in the hiking cycle, reflects the extent of uncertainty both around the evolution of data that underpins MPC decisions, as well as the MPCs reaction function.",,,,present,1,16652_7_1
16652,7,Persistence of inflation and shifting expectations,Requirement of a period of restrictive monetary policy to achieve the 2% target,Achieving the 2% target will require a period of restrictive monetary policy due to the persistence of inflation and shifting expectations.,"Taken together with the evidence of the persistence of inflation as well as shifting expectations, achieving the 2% target will require a period of restrictive monetary policy.",2% target,,,future,2,16652_7_2
16652,7,Falling real rate,Stimulation of the economy,A falling real rate ought to make consumption and investment cheaper and thereby stimulate the economy.,"If we think that expected real returns are what determine consumption and investment decisions, all other things equal, a falling real rate ought to make these cheaper (and thereby stimulate the economy).",,,,present,3,16652_7_3
16652,7,Rising real rate,Making consumption and investment more expensive,A rising real rate ought to make consumption and investment more expensive.,"If we think that expected real returns are what determine consumption and investment decisions, all other things equal, a rising real rate ought to make these more expensive.",,,,present,4,16652_7_4
16652,7,Real rates falling in response to an inflationary shock,Monetary policy becomes more expansionary,"If real rates fall in response to an inflationary shock, the stance of monetary policy actually becomes more expansionary regardless of the direction of nominal rates.","If real rates fall in response to an inflationary shock, the stance of monetary policy actually becomes more expansionary regardless of the direction of nominal rates.",,,,present,5,16652_7_5
16652,7,Nominal rates rising but not enough to offset rising inflationary momentum,"Real rates fell, allowing inflation to become entrenched","Nominal rates rose but never enough to offset the rising inflationary momentum, resulting in real rates falling which allowed inflation to become entrenched.","Arguably, this is exactly what happened in the 1970s: nominal rates rose but never enough to offset the rising inflationary momentum. As a result, real rates actually fell which allowed inflation to become entrenched.",,Arguably,,past,6,16652_7_6
16652,7,Keeping real rates from falling despite rising inflation,Avoidance of 1970s-style unanchoring of inflation expectations,"Despite rising inflation, keeping real rates from falling has prevented a 1970s-style unanchoring of inflation expectations.","In contrast, over the last couple of quarters, despite rising inflation, we have been successful in keeping real rates from falling. Therefore, I do not view it likely that we are in a 1970s-style unanchoring of inflation expectations with all the unpleasant side effects.",,I do not view it likely,over the last couple of quarters,present,7,16652_7_7
16652,8,Inflation and inflation expectations returning to the 2% target,Reversal of nominal rates,"Once inflation and inflation expectations return to the 2% target, it will be appropriate to reverse nominal rates.","Once inflation and inflation expectations return to the 2% target, it will be appropriate to reverse nominal rates.",,,Once,future,0,16652_8_0
16652,8,Perception of complacency about inflation,"Nominal expected yields may come down too soon, decreasing real rates, and prematurely loosening the stance of monetary policy","If we were perceived as being complacent about inflation, nominal expected yields may come down too soon, mechanically decreasing real rates, and prematurely loosening the stance of monetary policy.","If we were perceived as being complacent about inflation, nominal expected yields may come down too soon, mechanically decreasing real rates, and prematurely loosening the stance of monetary policy.",,If,,future,1,16652_8_1
16652,8,Uncertainty about the degree of inflation persistence,Assumption of a high degree of inflation persistence,"If there is uncertainty about the degree of inflation persistence, it is better to assume a high degree because the costs of making a mistake if the true inflation process is more persistent are larger than if the true inflation process is less persistent.","If there is uncertainty about the degree of inflation persistence, it is better to assume a high degree because the costs of making a mistake if the true inflation process is more persistent are larger than if the true inflation process is less persistent.",,If,,present,2,16652_8_2
16652,8,Material upside risks to inflation outlook,Requirement of higher nominal rates for longer,"This would again decrease real rates, thus requiring higher nominal rates for longer.","I see material upside risks to our inflation outlook. To achieve target-consistent CPI, the moderation of inflation this year has to be as rapid and complete on the downside as its ratchet-up was last year. The stickiness of one-year ahead, and even more so 2-3-year ahead expectations, and virtually any length contract period point to upside risk. This would again decrease real rates, thus requiring higher nominal rates for longer.",,,,future,3,16652_8_3
16652,8,Wage and price inflation being high,Monetary policy has to lean against upside biases,"From a risk-management point of view, monetary policy has to lean against these upside biases since wage and price inflation are still so high.","From a risk-management point of view, monetary policy has to lean against these upside biases since wage and price inflation are still so high.",,,,present,4,16652_8_4
16652,8,Inflation being more persistent,Bank Rate will need to rise again after the pause,"If inflation indeed is more persistent, then Bank Rate will need to rise again after the pause, to be followed later with reversal.","If inflation indeed is more persistent, then Bank Rate will need to rise again after the pause, to be followed later with reversal.",,If,,future,5,16652_8_5
16652,8,Implementation of policies focused on reducing carbon emissions,Increase in the volatility of inflation,"As more policymakers start to implement policies focused on reducing carbon emissions, such as cap-and-trade, a carbon tax, or carbon border adjustment mechanisms, it is likely that the volatility of inflation will increase.","As more policymakers start to implement policies focused on reducing carbon emissions, such as cap-and-trade, a carbon tax, or carbon border adjustment mechanisms, it is likely that the volatility of inflation will increase.",,it is likely,,future,6,16652_8_6
16652,10,OECD Composite Leading Indicators,Preceding cyclical fluctuations of the business cycle,"OECD Composite Leading Indicators are constructed from economic time series that have similar cyclical fluctuations to those of the business cycle, but importantly, they precede those of the business cycle.","OECD CLIs are constructed from economic time series that have similar cyclical fluctuations to those of the business cycle, but, and importantly, which precede those of the business cycle.",,,,present,0,16652_10_0
16652,10,High weight on slack in the economy by monetary policymaker,Determinate price level with less than one weight on inflation,"If the monetary policymaker puts a high weight on slack in the economy, a weight on inflation that is less than one can still result in a determinate price level.","It can be shown that if the monetary policymaker puts a high weight on slack in the economy, a weight on inflation that is less than one can still result in a determinate price level (Gali, 2008).",,This technically only holds for a zero inflation steady state.,,present,1,16652_10_1
16652,10,Positive trend inflation,Shrinking region of determinacy to cover only increasingly high inflation weights,"With positive trend inflation, the region of determinacy shrinks quickly to cover only increasingly high inflation weights.","Ascari & Sbordone (2014) show that with positive trend inflation, the region of determinacy shrinks quickly to cover only increasingly high inflation weights.",,,,present,2,16652_10_2
16652,11,Introducing only minor amounts of myopia,Ruling out the problem of indeterminacy,Introducing minor myopia in models prevents indeterminacy that occurs with infinitely forward-looking agents.,Angeletos & Lian (2021) find that introducing only minor amounts of myopia rules out the problem of indeterminacy prevalent in models with infinitely forward-looking agents.,,,,present,0,16652_11_0
16652,11,Long-term factors such as demographics,Falling time-varying equilibrium rate,Long-term factors like demographics have caused the time-varying equilibrium rate to fall over time.,"It is widely accepted that this has been falling for quite a while due to long-term factors such as demographics (Vlieghe, 2021).",,It is widely accepted,for quite a while,past,1,16652_11_1
16652,11,More medium-term headwinds,Affecting the time-varying equilibrium rate,Medium-term headwinds can also affect the time-varying equilibrium rate.,but can also be affected by more medium-term headwinds.,,can also be affected,,present,2,16652_11_2
16652,11,Falling time-varying equilibrium rate,Measured real yields would have to fall over time just to stand still,"As the time-varying equilibrium rate falls, measured real yields must also fall over time to maintain their position.","Therefore, also measured real yields would have to fall over time just to stand still.",,,over time,futur,3,16652_11_3
16653,1,Changes in monetary policy,Inflation,It takes 18 to 24 months for changes in monetary policy to feed through to inflation.,"Economists often reference the long and variable lags of monetary policy, first introduced by Milton Friedman in 1961. In the central banking world, 18 to 24 months is often quoted as how long it takes for changes in monetary policy to feed through to inflation, even as certainly this effect accumulates over that timeframe.",18 to 24 months,,,futur,0,16653_1_0
16653,1,"Structure of the economy, shocks the economy faces, and behavior of financial markets, firms, and households",Speed and magnitude of monetary transmission,"The speed and magnitude of monetary transmission depend on the underlying structure of the economy, shocks the economy faces, and on the behavior of financial markets, firms, and households.","As I've noted in numerous previous speeches, the speed and magnitude of monetary transmission depends on the underlying structure of the economy, shocks the economy faces, and on the behaviour of financial markets, firms and households.",,,,present,1,16653_1_1
16653,1,Changes in the economy and economic environment,Monetary transmission,Monetary transmission will change when the economy and the economic environment changes.,Monetary transmission will change when the economy and the economic environment changes.,,,,futur,2,16653_1_2
16653,1,Raising Bank Rate,Effect on the real economy and inflation,Raising Bank Rate should have an effect on the real economy and inflation.,We have been raising Bank Rate for more than a year now and by 390 basis points in total. Should we have seen more of an effect on the real economy and inflation already?,390 basis points,Perhaps,,futur,3,16653_1_3
16653,1,Transmission through financial markets and expectations of participants,Long and variable lags of monetary policy,The long and variable lags are influenced by how monetary policy is transmitted through financial markets or via the expectations of participants in the real economy.,Perhaps the long and variable lags are influenced by how monetary policy is transmitted through financial markets or via the expectations of participants in the real economy.,,Perhaps,,present,4,16653_1_4
16653,1,Sequence of shocks and embedding of inflation risks,Change in expectations formation,The sequence of shocks and embedding of inflation risks a troubling change in expectations formation via an increase in the share of backward-looking participants in the real economy.,"Certainly the sequence of shocks that we have encountered must also matter. In the following examination of the a) data and research, b) presentation of a new financial conditions index, and c) modelling of sequential shocks and expectations in a theoretical model, I will argue that 1) financial markets have absorbed a substantial degree of the tightening to date; 2) that the sequence of shocks and embedding of inflation risks a troubling change in expectations formation via an increase in the share of backward-looking participants in the real economy;",,,,futur,5,16653_1_5
16653,1,Change in expectations formation,Worse inflation and output outcome,A change in expectations formation risks a worse inflation and output outcome in the longer term.,which 3) risks a worse inflation and output outcome in the longer term.,,,in the longer term,futur,6,16653_1_6
16653,1,Further tightening of monetary policy,Effectiveness of monetary policy to achieve 2% inflation sustainably,Further tightening and sooner rather than later likely is needed to ensure the effectiveness of monetary policy to achieve the objective of 2% sustainably in the medium term.,This leads me to my conclusion that further tightening and sooner rather than later likely is needed to ensure the effectiveness of monetary policy to achieve the objective of 2% sustainably in the medium term.,2%,likely,in the medium term,futur,7,16653_1_7
16653,1,Change in the policy rate,"Behavior of households and firms, and ultimately output and prices","A change in the policy rate affects the behavior of households and firms, and ultimately output and prices in the economy.","How does that narrow conduit affect the behaviour of households and firms, and ultimately output and prices in the economy?",,,,futur,8,16653_1_8
16653,1,Central banks' reliance on financial markets,Pass-through of policy choices,Central banks rely on financial markets to pass through their policy choices in a way that is consistent with their intended consequences.,"Central banks rely on financial markets to pass through their policy choices in a way that is consistent with their intended consequences, alongside the role for expectations.",,,,present,9,16653_1_9
16653,1,Changed financial conditions and expectations,Output and prices,"Households and firms react to changed financial conditions and in light of their own expectations, which subsequently affects output and prices.","Households and firms then react to these changed financial conditions and in light of their own expectations, which subsequently affects output and prices.",,,,futur,10,16653_1_10
16653,1,Factors outside of the central banks' control and interactions among channels,Pass-through of policy choice,Factors outside of the central banks' control and interactions among the channels can amplify or dampen the pass-through of any given policy choice.,Factors outside of the central banks control and interactions among the channels can amplify or dampen the pass-through of any given policy choice.,,,,present,11,16653_1_11
16653,1,Change in the policy rate,Specific financial market variables,"Changes in the policy rate feed through to specific financial market variables, such as the exchange rate, the interest rates that firms and households face, as well as other asset prices.","But, as with many other cases of aggregation, it is important to look under the bonnet for where changes in the policy rate feed through to specific financial market variables, such as the exchange rate, the interest rates that firms and households face, as well as other asset prices.",,,,futur,12,16653_1_12
16653,1,Changes in the policy rate,Different speeds of transmission to financial market variables,"Changes in the policy rate don't transmit instantaneously but rather at different speeds to different financial market variables, which is one source of lags in monetary policy.","Changes in the policy rate don't transmit instantaneously though, but rather at different speeds to different financial market variables, which is one source of lags in monetary policy.",,,,present,13,16653_1_13
16653,2,Tightening in financial conditions,Households cut back on consumption,"A tightening in financial conditions should mean households cut back on consumption as the cost of borrowing rises, and the opportunity cost of spending increases as saving rates rise.","A tightening in financial conditions should mean households cut back on consumption as the cost of borrowing rises, and the opportunity cost of spending increases as saving rates rise.",,should,,futur,0,16653_2_0
16653,2,Tightening in financial conditions,Firms reduce investment,"Firms may reduce investment, both in response to rising borrowing costs, and in anticipation of worsening demand conditions.","Firms may reduce investment, both in response to rising borrowing costs, and in anticipation of worsening demand conditions.",,may,,futur,1,16653_2_1
16653,2,Expectations about the future,Influence the present,An often underappreciated feature of macroeconomics is that expectations about the future can influence the present.,An often underappreciated feature of macroeconomics is that expectations about the future can influence the present.,,can,,present,2,16653_2_2
16653,2,Expectations,Affect wages and prices directly,"Expectations can affect wages and prices directly, possibly before demand and supply conditions in goods and labour markets have changed.","Expectations can affect wages and prices directly, possibly before demand and supply conditions in goods and labour markets have changed.",,can,,present,3,16653_2_3
16653,2,Shocks outside of the control of a central bank,Influence the key channels of the transmission mechanism,"There are also shocks, illustrated on the right-hand side of this diagram, that are outside of the control of a central bank and can influence the key channels of the transmission mechanism.","There are also shocks, illustrated on the right-hand side of this diagram, that are outside of the control of a central bank and can influence the key channels of the transmission mechanism.",,can,,present,4,16653_2_4
16653,2,Changes in Bank Rate,Affect the real economy and inflation,"Economies and central banks across the world have faced a series of these shocks, which most probably have influenced the long and variable lags - that is the effectiveness - of how changes in Bank Rate affect the real economy and inflation.","Economies and central banks across the world have faced a series of these shocks, which most probably have influenced the long and variable lags - that is the effectiveness - of how changes in Bank Rate affect the real economy and inflation.",,most probably,,present,5,16653_2_5
16653,2,Expectations about policy,Matter for the stance of monetary policy,"Not only do expectations about policy matter, but, at least under current conditions, very little else matters.","Not only do expectations about policy matter, but, at least under current conditions, very little else matters.",,,at least under current conditions,present,6,16653_2_6
16653,2,MPC's Bank Rate increases,Monetary conditions have tightened significantly,"Over the last year and a half, monetary conditions have tightened significantly over a short period of time, in response to the MPCs Bank Rate increases.","Over the last year and a half, monetary conditions have tightened significantly over a short period of time, in response to the MPCs Bank Rate increases.",,,Over the last year and a half,past,7,16653_2_7
16653,3,Tightening from a loose monetary stance,Effect on inflation,Tightening from a loose stance has less of an effect on inflation than tightening from a tight stance.,"But research also finds that the extent to which monetary policy affects inflation depends on thresholds: that is, tightening from a loose stance has less of an effect on inflation than tightening from a tight stance (Calza and Sousa, 2005).",,,,present,0,16653_3_0
16653,3,Falling policy rates and QE,Widening of mortgage spreads,Spreads widened as reference rates fell in response to falling policy rates and QE.,Spreads widened as reference rates fell in response to falling policy rates and QE.,,,,past,1,16653_3_1
16653,3,Changes in policy rates,Rates households face on their mortgages,There is a lagged pass-through from changes in policy rates to the rates households face on their mortgages.,"This is evidence, at least over the sample period we are looking at, of lagged pass-through from changes in policy rates to the rates households face on their mortgages.",,at least over the sample period we are looking at,,present,2,16653_3_2
16653,3,Changes in risk-free rates,Mortgage rates,"Pass-through from changes in risk-free rates to mortgage rates is highly state-dependent, suggesting more rapid transmission as interest rates rise and slower transmission as interest rates fall.","It appears that pass-through from changes in risk-free rates to mortgage rates is highly state-dependent, suggesting more rapid transmission as interest rates rise and slower transmission as interest rates fall.",,suggesting,,present,3,16653_3_3
16653,3,MPCs tightening in monetary policy,Equity prices,The MPCs tightening in monetary policy has had a considerable downward effect on equity prices over the last twelve months.,The MPCs tightening in monetary policy has had a considerable downward effect on equity prices over the last twelve months.,considerable downward effect,,over the last twelve months,past,4,16653_3_4
16653,4,Higher interest rates,Equity prices,Higher interest rates weigh on equity prices as future earnings and cash flows are discounted using a higher discount factor.,This is the direction monetary policy makers would expect the transmission mechanism to work in a hiking cycle: higher interest rates weigh on equity prices as future earnings and cash flows are discounted using a higher discount factor.,,,,futur,0,16653_4_0
16653,4,Higher interest rates,Economic outlook signal to financial markets,Higher interest rates would signal a worsening economic outlook to financial markets.,"It would also make sense that higher interest rates would signal a worsening economic outlook to financial markets, which should dampen expected shareholder payouts, and potentially increase risk premia.",,It would also make sense,,futur,1,16653_4_1
16653,4,Higher interest rates,Expected shareholder payouts,Higher interest rates should dampen expected shareholder payouts.,"It would also make sense that higher interest rates would signal a worsening economic outlook to financial markets, which should dampen expected shareholder payouts, and potentially increase risk premia.",,should,,futur,2,16653_4_2
16653,4,Higher interest rates,Risk premia,Higher interest rates potentially increase risk premia.,"It would also make sense that higher interest rates would signal a worsening economic outlook to financial markets, which should dampen expected shareholder payouts, and potentially increase risk premia.",,potentially,,futur,3,16653_4_3
16653,4,Shareholder payout and equity risk premium,Equity prices,Shareholder payout and equity risk premium have made a positive contribution to equity prices since the beginning of last year.,"But Chart 4 shows that, in fact, shareholder payout and most notably the equity risk premium have made a positive contribution to equity prices since the beginning of last year.",,,since the beginning of last year,past,4,16653_4_4
16653,4,MPC's tightening efforts,Equity performance,MPC's tightening efforts have been in part offset by the positive contribution of a falling equity risk premium.,It seems that the MPCs tightening efforts have been in part offset by this risk premium.,,It seems,,past,5,16653_4_5
16653,4,Rise in UK interest rates,Sterling appreciation,A rise in UK interest rates should cause Sterling to appreciate relative to other currencies.,"All other things being equal, a rise in UK interest rates should cause Sterling to appreciate relative to other currencies - but we see a marked depreciation instead.",,should,,futur,6,16653_4_6
16653,4,US policy and macroeconomic factors,Sterling-Dollar exchange rate,"The contribution of US policy and macroeconomic factors have outweighed the MPCs tightening, leading to a depreciation of Sterling versus the Dollar.","Up until the end of 2022, the contribution of US policy and macroeconomic factors have outweighed the MPCs tightening.",Sterling has depreciated by 10% versus the Dollar.,,Up until the end of 2022,past,7,16653_4_7
16653,4,MPC not tightening,Exchange rate,"Had the MPC not tightened, the exchange rate likely would have been even weaker.","On the other hand, the aqua bars, reflecting the pricing of UK policy and domestic macroeconomic factors, have increased, suggesting that had the MPC not tightened, the exchange rate likely would have been even weaker.",,likely,,futur,8,16653_4_8
16653,4,UK-specific risk premium,Sterling assets,A persistent UK-specific risk premium captures the reduced appetite for Sterling assets more broadly.,"Another factor weighing on Sterling, as seen through the lens of this model, is a persistent UK-specific risk premium which captures the reduced appetite for Sterling assets more broadly.",,,,present,9,16653_4_9
16653,5,Monetary policy,State of the macroeconomy,"Monetary policy can affect the state of the macroeconomy by changing the interest rate, changing borrowing costs in the economy, and thereby influencing spending, investment and saving behaviour, including expectations, wage and price setting.","Monetary policy can affect the state of the macroeconomy by changing the interest rate, changing borrowing costs in the economy, and thereby influencing spending, investment and saving behaviour, including expectations, wage and price setting.",,,,present,0,16653_5_0
16653,5,High inflation,Tighter monetary policy,"If a central bank observes high inflation, policymakers should react by setting tighter monetary policy.","if a central bank observes high inflation, policymakers should react by setting tighter monetary policy.",,,,present,1,16653_5_1
16653,5,Tightening monetary policy,Increase in inflation (short run),"Empirical models predicted that tightening monetary policy resulted in an increase, not a decrease in inflation, at least in the short run.","Empirical models predicted that tightening monetary policy resulted in an increase, not a decrease in inflation, at least in the short run.",,,at least in the short run,past,2,16653_5_2
16653,5,Policy shocks including endogenous policy responses to forecasts of future inflation,Price puzzle,Sims (1992) argued this was because policy shocks used to identify the causal effects also included the endogenous policy responses to forecasts of future inflation.,Sims (1992) argued this was because policy shocks used to identify the causal effects also included the endogenous policy responses to forecasts of future inflation.,,,,past,3,16653_5_3
16653,5,Deviations from the monetary rule,Response of the economy to monetary policy,We require deviations from the monetary rule to identify the response of the economy to monetary policy.,We require deviations from the monetary rule to identify the response of the economy to monetary policy.,,,,present,4,16653_5_4
16653,6,1 percentage point monetary policy shock,1-year nominal interest rate,"A 100 basis point monetary policy shock has a persistent effect on the 1-year nominal interest rate, lasting for around twelve months after the shock hits.","Starting by looking at the top left panel, a 100 basis point monetary policy shock has a persistent effect on the 1-year nominal interest rate, lasting for around twelve months after the shock hits.",lasting for around twelve months,,,present,0,16653_6_0
16653,6,monetary policy shock,Sterling exchange rate index,"The monetary policy shock appreciates the Sterling exchange rate index, with a peak effect at two to three months following the shock.","The top right-hand panel shows the monetary policy shock also appreciates the Sterling exchange rate index, with a peak effect at two to three months following the shock, consistent with the effect on the 1-year nominal interest rate.",peak effect at two to three months,,,present,1,16653_6_1
