cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
front-loaded policy path,smaller deviations from the inflation target,A front-loaded policy path would yield smaller deviations from the inflation target.,"Indeed, according to the research cited above, the front-loaded policy path would yield smaller deviations from the inflation target with no additional loss in terms of output volatility.",NA,NA,NA,FUTURE,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_30
front-loaded tightening path,strong signal of commitment to the inflation target,A front-loaded tightening path was needed to send a strong signal of commitment to the inflation target.,"In sum, I argued that a front-loaded tightening path was needed to send a strong signal of commitment to the inflation target so as to forestall the embedding of inflation expectations in wages and prices.",NA,NA,NA,PAST,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_31
doubling of consumer-facing energy prices,reduction in real aggregate non-energy consumption,A doubling of energy prices generated a reduction in non-energy consumption.,A back-of-the-envelope calculation of the impact of a doubling of consumer-facing energy prices - about what the October price cap might be relative to before-Covid - generated a reduction in real aggregate non- energy consumption of roughly 2%.,roughly 2%,NA,NA,PAST,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_32
2% drop in real post-tax labour income,reduction in demand,A drop in real post-tax labour income caused a reduction in demand.,This would come on top of any reduction in demand caused by the 2% drop in real post-tax labour income that was projected for 2022 as of the February forecast.,2%,NA,NA,FUTURE,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_33
low price elasticity,reduction in consumption of non-energy goods and services,"Households cannot easily substitute away from spending, leading to reduced consumption of non-energy goods and services.","Since they cannot easily substitute away from this spending (i.e. their price elasticity is low) and they cannot typically smooth consumption by much (i.e. their marginal propensity to consume is high), they likely will reduce their consumption of non-energy goods and services nearly one-for-one.",NA,likely,NA,FUTURE,speech_16649_batch_2,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_34
high marginal propensity to consume,reduction in consumption of non-energy goods and services,"Households cannot typically smooth consumption by much, leading to reduced consumption of non-energy goods and services.","Since they cannot easily substitute away from this spending (i.e. their price elasticity is low) and they cannot typically smooth consumption by much (i.e. their marginal propensity to consume is high), they likely will reduce their consumption of non-energy goods and services nearly one-for-one.",NA,likely,NA,FUTURE,speech_16649_batch_2,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_35
energy price shock,change in price realisations,The aggregate demand response to the energy price shock affects price realisations.,"This change in price realisations in the face of the aggregate demand response to the energy price shock is critical to stem the ratchet effect, and to moderate aggregate CPI inflation.",NA,NA,NA,PRESENT,speech_16649_batch_2,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_36
energy price shock,moderation of aggregate CPI inflation,The aggregate demand response to the energy price shock is critical to moderate aggregate CPI inflation.,"This change in price realisations in the face of the aggregate demand response to the energy price shock is critical to stem the ratchet effect, and to moderate aggregate CPI inflation.",NA,NA,NA,PRESENT,speech_16649_batch_2,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_37
energy price shock,impact on aggregate demand,The energy price shock affects aggregate demand.,"Should the impact on aggregate demand of the energy price shock end-up being more modest than currently foreseen, should wage and price expectations and outcomes remain as strong as they currently are, and should financial markets return to being copacetic on private credit and duration risk, a reassessment of the pace of tightening would be warranted.",NA,should,NA,FUTURE,speech_16649_batch_2,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_38
monetary policy,anchoring of inflation expectations,Monetary policy needs to keep inflation expectations anchored.,"Monetary policy needs to keep inflation expectations anchored; by doing so now, less tightening will be required later, when demand may still be weak.",NA,NA,NA,PRESENT,speech_16649_batch_2,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_39
uncertainty about the degree of intrinsic inflation persistence,optimal for policymakers to respond more aggressively to inflation,Uncertainty leads policymakers to take aggressive actions to manage inflation expectations.,"Relatedly, Soderstrom (2002) shows in a (highly stylised) dynamic macroeconomic model that if there is uncertainty about the degree of intrinsic inflation persistence, it is optimal for policymakers to respond more aggressively to inflation in order to reduce uncertainty about the future path of inflation.",NA,if,NA,PRESENT,speech_16649_batch_3,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_40
inflation not eliminated today,could feed through into future inflation,Current inflation can contribute to future inflation levels.,"Uncertainty about the future path would be reduced because any inflation not eliminated today, could feed through into future inflation to an uncertain extent.",NA,could,NA,FUTURE,speech_16649_batch_3,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_41
long periods of loose policy,high debt levels,Extended loose policy results in increased debt levels.,See Mian et al. (2021) for an example of how high debt levels resulting from long periods of loose policy can depress the long-run neutral rate through deficient aggregate demand.,NA,NA,NA,PAST,speech_16649_batch_3,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_42
high debt levels,depress the long-run neutral rate,Increased debt levels lead to a decrease in the long-run neutral rate.,See Mian et al. (2021) for an example of how high debt levels resulting from long periods of loose policy can depress the long-run neutral rate through deficient aggregate demand.,NA,NA,NA,PRESENT,speech_16649_batch_3,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_43
changes in interest rates in the US,UK economy,US interest rate changes can influence economic conditions in the UK through financial spillovers.,Catherine L. Mann says changes in interest rates in the US can affect the UK economy.,NA,can,NA,PRESENT,speech_16650_batch_0,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_0
global shocks,prices rise at historic rates,"Global shocks, including Covid and geopolitical events, have led to significant price increases.","A sequence of global shocks has let prices rise at historic rates - the initial Covid shock and fiscal responses powering a goods-market rotation, supply bottlenecks, and surging prices for goods; reopening as Covids variants receded, but at different paces and following different strategies, such as Chinas zero-Covid strategy; supporting elevated prices of goods and energy; the Russian invasion of Ukraine spurring even higher energy and food prices.",NA,NA,NA,PAST,speech_16650_batch_0,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_1
global shocks,domestic inflation,Global shocks have become embedded in domestic inflation through second-round effects.,"For all, global shocks have, to a greater-or-lesser degree, become embedded via second-round effects in domestic inflation, and therefore require a monetary policy response.",NA,NA,NA,PRESENT,speech_16650_batch_0,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_2
US monetary policy tightening,slowdown in activity and disinflation,"US monetary tightening reduces demand for goods and services produced abroad, causing a slowdown and disinflation.","On the one hand, via slowing US domestic demand, US monetary tightening will reduce demand for goods and services produced abroad. The global demand channel causes a slowdown in activity and disinflation.",NA,NA,NA,FUTURE,speech_16650_batch_0,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_3
US monetary policy tightening,appreciation of the Dollar,US monetary tightening appreciates the Dollar as compensation for holding Dollar-denominated assets rises and capital flows to the US increase.,"On the other hand, all other things being equal, a monetary policy tightening in the US ought to appreciate the Dollar vis-a-vis foreign currencies as compensation for holding Dollar-denominated assets rises and capital flows to the US increase.",NA,ought to,NA,FUTURE,speech_16650_batch_0,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_4
US monetary policy tightening,capital outflows and depreciating foreign currency,US monetary tightening leads to capital outflows from foreign economies and depreciation of their currencies.,"For the foreign economy, this means capital outflows (or reduced capital inflows) and a depreciating currency.",NA,NA,NA,FUTURE,speech_16650_batch_0,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_5
imported goods becoming more expensive in terms of foreign currency,inflationary effect in the non-US economy,The global financial channel transmits the cost increase to inflation.,"As imported goods become more expensive in terms of the foreign currency, this global financial channel will tend to have an inflationary effect in the non-US economy.",NA,NA,NA,FUTURE,speech_16650_batch_1,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_6
depreciation making exports more attractive,boost to exports,"The depreciation increases competitiveness, potentially offsetting global demand slowdown.",To the extent that the depreciation makes exports from this country more attractive on the world market there may be a boost to exports that offset the global demand slowdown.,NA,there may be,NA,NA,speech_16650_batch_1,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_7
US tightening,inflationary pressures in emerging market economies,"US tightening increases costs or reduces capital flows, leading to inflationary pressures.",Inflationary pressures from US tightening have been documented especially for emerging market economies and have been found to be large and significantly.,NA,NA,NA,PAST,speech_16650_batch_1,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_8
US monetary tightening,decrease in real economic activity,The increase in US Treasury bill rate reduces economic activity.,The red lines in Chart 5 show that a shock which increases the US 3-months Treasury bill rate by 100 basis points decreases the level of real economic activity by 3 percent by the end of the second year.,3 percent decrease,NA,by the end of the second year,FUTURE,speech_16650_batch_1,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_9
US monetary tightening,decrease in price level,The increase in US Treasury bill rate reduces the price level.,"It also decreases the price level by about 0.4 percent by the end of year 3, although this effect is statistically insignificant in the sample.",0.4 percent decrease,although this effect is statistically insignificant,by the end of year 3,FUTURE,speech_16650_batch_1,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_10
US tightening,inflationary effect in the UK,"US tightening leads to Sterling depreciation, increasing import prices and inflation.","For the UK, using historical data, it turns out, that a US tightening has been inflationary rather than disinflationary.",NA,NA,NA,PAST,speech_16650_batch_1,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_11
US tightening,Sterling depreciation,"US tightening increases interest rate differential, causing currency depreciation.","This inflationary effect is consistent with the effect on the bilateral exchange rate: Here, a US tightening leads to a Sterling depreciation of 472 percent by year 2.",472 percent depreciation,NA,by year 2,FUTURE,speech_16650_batch_1,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_12
US monetary policy shock,increase in UK short-term rates,The shock causes UK policymakers to adjust rates to manage economic impact.,"On average, over the past, UK short term rates rise immediately after the shock (by 27 basis points, so by about a quarter of the US response) but fall thereafter, reaching a trough of-74 basis points at the end of year 3.",27 basis points increase,NA,immediately after the shock,PAST,speech_16650_batch_1,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_13
US monetary policy shock,fall in UK output,"The shock reduces demand, impacting UK economic activity.","Thus, on net the UK policymaker in the model as estimated from the data, chooses to add stimulus as a result of US tightening, in order to offset the negative output effects of the global demand channel at the cost of temporarily higher inflation and a persistently higher price level.",NA,NA,NA,PAST,speech_16650_batch_1,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_14
US monetary policy shock,increase in UK prices,"The shock causes Sterling depreciation, increasing import prices.",A Fed tightening depresses output both at home and abroad but in fact puts upward pressure on UK prices through the global financial channel.,NA,NA,NA,PAST,speech_16650_batch_1,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_15
higher energy and food prices,real income decrease,"Higher prices reduce purchasing power, leading to a decrease in real income.","On the other hand, even though higher energy and food prices (as well as overall inflation) clearly are hitting real incomes, countervailing factors importantly and increasingly are likely to support consumption spending in the near term.",NA,NA,NA,PRESENT,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_16
two fiscal packages,consumption spending support,Fiscal packages provide financial resources that can boost consumer spending.,"These include the two fiscal packages, strong employment, wide-spread bonuses as well as robust wage growth, strong housing values, accumulated savings, quality trade-down, and borrowing through credit cards among other schemes.",NA,NA,in the near term,PRESENT,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_17
strong employment,consumption spending support,"Employment provides income, which supports consumer spending.","These include the two fiscal packages, strong employment, wide-spread bonuses as well as robust wage growth, strong housing values, accumulated savings, quality trade-down, and borrowing through credit cards among other schemes.",NA,NA,in the near term,PRESENT,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_18
wide-spread bonuses,consumption spending support,"Bonuses increase disposable income, supporting consumer spending.","These include the two fiscal packages, strong employment, wide-spread bonuses as well as robust wage growth, strong housing values, accumulated savings, quality trade-down, and borrowing through credit cards among other schemes.",NA,NA,in the near term,PRESENT,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_19
robust wage growth,consumption spending support,"Wage growth increases income, supporting consumer spending.","These include the two fiscal packages, strong employment, wide-spread bonuses as well as robust wage growth, strong housing values, accumulated savings, quality trade-down, and borrowing through credit cards among other schemes.",NA,NA,in the near term,PRESENT,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_20
strong housing values,consumption spending support,"Higher housing values increase wealth, supporting consumer spending.","These include the two fiscal packages, strong employment, wide-spread bonuses as well as robust wage growth, strong housing values, accumulated savings, quality trade-down, and borrowing through credit cards among other schemes.",NA,NA,in the near term,PRESENT,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_21
accumulated savings,consumption spending support,Savings provide financial resources that can be used for spending.,"These include the two fiscal packages, strong employment, wide-spread bonuses as well as robust wage growth, strong housing values, accumulated savings, quality trade-down, and borrowing through credit cards among other schemes.",NA,NA,in the near term,PRESENT,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_22
quality trade-down,consumption spending support,"Consumers may switch to cheaper alternatives, maintaining spending levels.","These include the two fiscal packages, strong employment, wide-spread bonuses as well as robust wage growth, strong housing values, accumulated savings, quality trade-down, and borrowing through credit cards among other schemes.",NA,NA,in the near term,PRESENT,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_23
borrowing through credit cards,consumption spending support,Credit card borrowing provides additional funds for spending.,"These include the two fiscal packages, strong employment, wide-spread bonuses as well as robust wage growth, strong housing values, accumulated savings, quality trade-down, and borrowing through credit cards among other schemes.",NA,NA,in the near term,PRESENT,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_24
Fed tightening,Sterling depreciation pressure,Tightening monetary policy in the US can lead to capital flows that depreciate Sterling.,"Taking my judgement that the domestic conjunctural situation is characterized by very high inflation and various supports to consumer purchasing power relative to real income, I now turn to the global factor: If the Fed tightens at the currently expected pace, and the ECB musters an increase soon, the scenarios outlined above suggest additional depreciation pressure on Sterling that could add to inflation particularly in the near term.",NA,If,in the near term,FUTURE,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_25
Sterling depreciation,inflation increase,"Depreciation of Sterling makes imports more expensive, increasing inflation.","Taking my judgement that the domestic conjunctural situation is characterized by very high inflation and various supports to consumer purchasing power relative to real income, I now turn to the global factor: If the Fed tightens at the currently expected pace, and the ECB musters an increase soon, the scenarios outlined above suggest additional depreciation pressure on Sterling that could add to inflation particularly in the near term.",NA,could,in the near term,FUTURE,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_26
Fed tightening,inflation increase,"Tightening monetary policy in the US can lead to capital flows that depreciate Sterling, increasing inflation.",Using the reaction function based on historical data with about a % response to the posited Fed tightening would add about half a percentage point to inflation in the first year.,half a percentage point,NA,in the first year,FUTURE,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_27
domestic conjuncture and global factor,reduction in risk of inflation boost,A robust policy move can mitigate the risk of domestic inflation being further increased by imported inflation.,"In my view, a more robust policy move, based on both domestic conjuncture and commensurate with the global factor, reduces the risk that domestic inflation already embedded is further boosted by inflation imported via a Sterling depreciation.",NA,NA,NA,PRESENT,speech_16650_batch_2,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_28
US monetary policy shocks,spillover into global financial and macroeconomic conditions,US monetary policy shocks affect global conditions through spillovers,"For example, Miranda-Agrippino & Nenova (2022) show how US monetary policy shocks significantly spill over into global financial and macroeconomic conditions, depressing world production and trade.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_29
US monetary policy shocks,depression in world production and trade,US monetary policy shocks lead to a decrease in production and trade,"For example, Miranda-Agrippino & Nenova (2022) show how US monetary policy shocks significantly spill over into global financial and macroeconomic conditions, depressing world production and trade.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_30
decrease in global risk-taking,slowdown,Decrease in global risk-taking contributes to economic slowdown,Pinchetti & Szczepaniak (2022) document that an important contributor to this slowdown is the decrease in global risk-taking following a US tightening.,NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_31
US monetary policy,contraction in output,US monetary policy affects output through an international credit channel,"Consistent with these results, Cesa-Bianchi & Sokol (2022) find that there exists an international credit channel of US monetary policy which is contractionary in both output and inflation at home and abroad.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_32
US monetary policy,contraction in inflation,US monetary policy affects inflation through an international credit channel,"Consistent with these results, Cesa-Bianchi & Sokol (2022) find that there exists an international credit channel of US monetary policy which is contractionary in both output and inflation at home and abroad.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_33
US tightening,inflation in emerging market economies,US tightening leads to inflation in emerging markets,"See for example Ahmed et al. (2021) who show how US tightening is inflationary in emerging market economies, especially when this tightening is driven by stronger US demand.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_34
monetary policy loosening by the ECB,disinflation in non-Euro Central and Eastern European countries,ECB monetary policy loosening causes disinflation in non-Euro countries,"For Europe, Potjagailo (2017) finds that a monetary policy loosening by the ECB is disinflationary in non-Euro Central and Eastern European countries, similarly documenting spillovers that induce opposite price reactions in the country of the shock and abroad.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_35
